Sun Nov 27 07:01:14 EST 2016,   https://t.co/KBLKTP89Xi, | Myths and Facts About Obstructive Sleep Apnea|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of' 'sleep apnea' 'OSA' 'obstructive sleep apnea' 'snoring' 'sleep' 'sleep disorder' 'breathing']|, ||
Tue May 17 10:54:40 EDT 2016,   https://t.co/gxzPXCnZo0, | error|, |['religion' 'religious services' 'women' 'death' 'early death' 'devout' "women's health" 'healthy women'] |, |MONDAY May 16 2016 (HealthDay News) -- Routinely attending religious services may confer a halo of better health around American women a new study suggests. Harvard researchers found that women who went to religious services at least twice a week were one-third less likely to die over the 20-year study period compared to women who never attended services. Is this a case of divine intervention or is there another reason behind the improved longevity? "The association between religious participation and mortality probably has more to do with religious practice and specifically communal practice like attending religious services than with religious belief" said study author Tyler VanderWeele. "Something about the communal religious experience seems to be powerful for health" said VanderWeele a professor of epidemiology at the Harvard T.H. Chan School of Public Health in Boston. VanderWeele said previous research has found that personal religious or spiritual identity or private religious practices don't seem to matter as much for health. "These things may of course still be important and meaningful within the context of religious life but they do not appear to affect health as strongly. The results from our study suggest that there may be something important about religious service attendance beyond solitary spirituality" he said. Does that mean that folks who don't attend regularly attend religious services are doomed to a shorter life span? Not necessarily. VanderWeele pointed out that "with data of this sort one generally cannot definitively demonstrate a cause-effect relationship."  He added that the association doesn't seem to be as strong for men as it is for women. Nevertheless VanderWeele said research does seem to indicate that women who regularly attend religious services appear to benefit from a boost in social support and a heightened sense of self-discipline along with a diminished risk for both smoking and depression. "[So] at least for those already religious service attendance may be a powerful and underappreciated health resource" VanderWeele added. The study was published in the May 16 issue of JAMA Internal Medicine. Nearly two-thirds of Americans say that religion is an important part of their lives. Eighty-three percent said they've prayed to God during the past week. More than four in 10 Americans said they attended a religious service in the past week the researchers noted.|
Tue Sep 13 18:20:22 EDT 2016,   https://t.co/qdOU1eWmcV, | Symptoms of ADHD|, |['ADHD' 'ADHD symptoms' 'combined ADHD' 'inattentive ADHD' 'hyperactive-impulsive ADHD' 'attention deficit hyperactivity disorder' 'types' 'inattentiveness' 'ADD' 'concentration' 'hyperactivity' 'impulsivity' 'prognosis' 'work' 'school' 'home' 'criteria' 'relationship'] |, |Could someone you know have ADHD? Maybe they're inattentive. Or they might be hyperactive and impulsive. They might have all those traits. There are three groups of symptoms: Get the facts on all of them and learn examples of behaviors that can come with each. You might not notice it until a child goes to school. In adults it may be easier to notice at work or in social situations. The person might procrastinate not complete tasks like homework or chores or frequently move from one uncompleted activity to another. They might also: It may vary with age. You might be able to notice it in preschoolers. ADHD symptoms nearly always show up before middle school. Kids with hyperactivity may:  Toddlers and preschoolers with ADHD tend to be constantly in motion jumping on furniture and having trouble participating in group activities that call for them to sit still. For instance they may have a hard time listening to a story. School-age children have similar habits but you may notice those less often. They are unable to stay seated squirm a lot fidget or talk a lot. Hyperactivity can show up as feelings of restlessness in teens and adults. They may also have a hard time doing quiet activities where you sit still. Symptoms of this include:|
Thu Sep 15 12:00:09 EDT 2016,   https://t.co/VJyZ9dAnKC, | Health Problems of U.S. Presidents|, |['Kennedy' "Addison's disease" 'Lincoln' 'lead poisoning' 'polio' 'FDR']|, ||
Fri Jul 01 12:33:08 EDT 2016,   https://t.co/ktsqSas8OI, | U.S. Cancer Survivors Living Longer|, |['cancer' 'cancer survivors' 'survival' 'surviving cancer' 'longevity' 'living longer' 'lifespan'] |, |FRIDAY July 1 2016 (HealthDay News) -- As the American population ages more older adults will survive cancer and live with other chronic conditions that will burden the health care system U.S. government health officials report. "Increasingly we are seeing the impact of an aging population -- fueled by maturing baby boomers -- on major diseases including cancer" said lead researcher Shirley Bluethmann a cancer prevention fellow at the U.S. National Cancer Institute. In 2016 nearly 62 percent of almost 16 million cancer survivors are aged 65 or older the researchers said. By 2040 an estimated 73 percent of 26 million cancer survivors will be 65 or older. "This steady and dramatic growth will affect the health care system and so is sometimes referred to as the 'silver tsunami' " Bluethmann said. "It not only has implications for older people who are at higher risk for cancer it also means that we will have higher numbers of older patients with complex health needs." In the face of this challenge health care providers will have to build collaborative care teams -- including doctors nurses and other caregivers -- to be able to respond to the needs of this vulnerable population Bluethmann noted. "We also need to emphasize the benefits of lifestyle for cancer prevention and control across the life course" she added. "Lifestyle choices including doing regular exercise and maintaining a healthy weight may prevent some kinds of cancer but also offer many benefits in preserving function reducing symptoms and promoting a high quality of life into old age" Bluethmann said. For the study Bluethmann and her colleagues used federal health data from 1975 to 2012. With Census data they projected the incidence of cancer from 2016 to 2040. In addition the researchers used Medicare claims to estimate the impact of other chronic conditions such as heart disease lung disease and diabetes. They found that by 2040 cancer survivors aged 65 to 74 will make up 24 percent of all survivors those aged 75 to 84 will make up 31 percent of all survivors and those aged 85 and older will represent 18 percent.|
Fri May 06 11:42:01 EDT 2016,   https://t.co/vWMGvqBxVT, | error|, |['']|, ||
Thu Jun 02 18:21:20 EDT 2016,   https://t.co/KPSjj9Prjw, | error|, |['']|, ||
Sat May 07 11:48:01 EDT 2016,   https://t.co/RZy5pmGVXs, | error|, |['']|, ||
Mon May 30 19:46:01 EDT 2016,   https://t.co/3a7kscww3N, | 25 Super Snacks With 100 Calories or Less|, |['slideshow' 'slide show' 'slideshows' 'slide shows' 'pictures of ice cream' 'popcorn' 'quesadilla' 'lox' 'jicama' 'pita bread' 'cottage cheese' 'cantaloupe' 'almonds' 'baked apple' 'edamame' 'baked potato' 'blueberry smoothie' 'mango' 'yogurt' 'chocolate frozen yogurt' 'bananas' 'pistachios' 'tomato soup' 'green grapes' 'cookies']|, ||
Mon May 30 15:42:01 EDT 2016,   https://t.co/75C2AhPzPS, | A Visual Guide to Eczema|, |['pictures of skin rashes' 'eczema' 'eczema pictures' 'atopic dermatitis' 'baby eczema' 'infant eczema' 'cradle cap' 'seborrheic dermatitis' 'childhood eczema' 'hand eczema' 'face rash' 'rash on legs' 'arm rash' 'corticosteroids' 'phototherapy' 'dry skin therapy' 'bleach bath' 'skin infection']|, ||
Tue Jun 28 14:29:06 EDT 2016,   https://t.co/oCvHXGAwdJ, | Flint's Lead Crisis 'Entirely Preventable'|, |['lead in water' 'Flint' 'Michigan' 'lead poisoning' 'lead testing' 'EPA'] |, |FRIDAY June 24 2016 (HealthDay News) -- Analysis of blood samples from young children of Flint Mich. shows they had much more lead in their blood when the city used local drinking water in an effort to cut costs a new U.S. government study reveals.  A series of blood samples showed kids younger than 6 were nearly 50 percent more likely to have elevated blood lead levels when the city used the Flint River for drinking water instead of the Detroit water system researchers from the U.S. Centers for Disease Control and Prevention concluded.  The percentage of kids with high lead content returned to previous levels once the city switched back to the Detroit system. The reason for the lead contamination? Inappropriate corrosion control measures investigators said.  "This crisis was entirely preventable and a startling reminder of the critical need to eliminate all sources of lead from our children's environment" Patrick Breysse director of CDC's National Center for Environmental Health said in an agency news release.  Even low levels of lead in children's blood can affect intelligence ability to pay attention and academic achievement the agency noted.  The blood lead level of concern is 5 or more micrograms of lead per deciliter of blood. During the period that the Flint River water was used (April 25 2014 to Oct. 15 2015) lead levels in local tap water increased over time as did lead content in children's blood the CDC said.  The CDC has advised that all children under age 6 in Flint have their blood tested for lead by a health care provider.  According to Dr. Nicole Lurie U.S. Department of Health and Human Services' Assistant Secretary for Preparedness and Response "Parents and teachers can do a lot to help children grow up healthy and strong even if they were exposed to lead."  She said the city's children are getting developmental assessments and needed services. "We have also expanded Medicaid and strongly urge parents to enroll their children and schedule appointments for them to be seen by a health provider who can follow their health as they grow and develop" Lurie said.|
